ID;Cím
1;4030 Debrecen,  Vágóhíd út 4.b.
2;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.
3;4600 Kisvárda, Szt. László u. 69.
4;4251 Hajdúsámson, Hunyadi utca 2.
5;4225 Debrecen, Szentgyörgyflavi utca 9.
6;4030 Debrecen, Pandúr utca 2/A.
7;1151 Budapest, Károlyi Sándor út 121.
8;4100 Berettyóújfalu, Bajcsy-Zsilinszky Endre u. 3-5.
9;4080 Hajdúnánás, Irányi utca 1.
10;7624 Pécs, Barbakán tér 3. fsz.
11;1087 Budapest, Százados u. 18.
12;4028 Debrecen, Laktanya utca 23.
13;4032 Debrecen, Móricz Zsigmond krt. 22.
14;4220 Hajdúböszörmény, Újfehértói utca 79.
15;5340 Kunhegyes, Kossuth u. 54.
16;3557 Bükkszentkereszt, Széchenyi u. 12.
17;4324 Kállósemjén, Kossuth út 87.
18;4029 Debrecen, Csapó utca 22. fszt.2.
19;2500 Esztergom, Kossuth Lajos utca 39.
20;4244 Újfehértó, Petőfi u. 52.
21;4800 Vásárosnamény, Kossuth Lajos út 34. fszt. 3.
22;4553 Apagy, Kossuth Lajos út 147.A.ép.
23;4264 Nyírábrány, Hajnal u. 1.
24;4634 Aranyosapáti, Kossuth u. 63.
25;4900 Fehérgyarmat, Móricz Zsigmond utca 3-5.
26;4200 Hajdúszoboszló, Széchenyi u. 14.
27;4251 Hajdúsámson, Kiscsere utca 3.
28;8105 Pétfürdő, Iskola u.3.
29;4030 Debrecen, Epreskert u. 88.
30;4400 Nyíregyháza, Nyírfa utca 23.
31;4600 Kisvárda, Árpád u. 26.
32;4024 Debecen, Jászai Mari utca 7. fszt. 3.
33;4060 Balmazújváros, Bocskai u. 2-4.
34;4027 Debrecen, Szegfű utca 1. 2.em.9.
35;4400 Nyíregyháza, Patkó utca 2/A
36;4034 Debrecen, Ruyter utca 70/B
37;3300 Eger, Hadnagy út 5.
38;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.
39;4544 Nyírkarász, Kossuth u.1.
40;4220 Hajdúböszörmény, Árpád u.45
41;4220 Hajdúböszörmény, Dorogi utca 20.
42;2800 Tatabánya, Szent István u. 21.
43;6000 Kecskemét, Budai utca 1.
44;2500 Esztergom, Kossuth u. 41.
45;4200 Hajdúszoboszló, Bethlen utca 30.
46;2093 Budajenő, Szőlőhegyi út 15.
47;9200 Mosonmagyaróvár, Flesch Károly utca 15.
48;4026 Debrecen, Hatvan utca 66.
49;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház)
50;2840 Oroszlány, Népekbarátsága utca 20. 2.em.3.
51;2151 Fót, Keleti Márton út 19.
52;2120 Dunakeszi, Kisdobos utca 21.b.
53;3527 Miskolc, Baross Gábor u. 16.
54;4400 Nyíregyháza, Kossuth u. 50.
55;6724 Szeged, Mars tér 1-3.
56;1088 Budapest, Mikszáth K. tér 4.
57;2840 Oroszlány, Rákóczi F. út 82.
58;4532 Nyírtura, Rákóczi u. 21.
59;40311 Debrecen, Tócóskert tér 1-3.
60;4024 Debrecen, Kossuth u. 7.
61;4028 Debrecen, Szigligeti u. 7.
62;4181 Nádudvar, Petri-derzs utca 36.
63;4374 Encsencs, Fő út 3.
64;4138 Komádi, Fő u. 35.
65;4623 Tuzsér, Kossuth u. 64.
66;4621 Fényeslitke, Kossuth u. 137.
67;4119 Váncsod, Kossuth u. 13.
68;4244 Újfehértó, Bartók Béla út 11.
69;4060 Balmazújváros, Veres Péter u. 2/D
70;4150 Püspökladány, Kossuth utca 5/1.
71;4071 Hortobágy, Kossuth utca 3.
72;4069 Egyek, Hunyadi u. 48/a.
73;4531 Nyírpazony, Széchenyi u. 17.
74;4482 Kótaj, Kossuth utca 11.
75;4931 Tarpa, Kossuth u. 51/b.
76;4244 Újfehértó, Fő tér 9.
77;4030 Debrecen, teszt ss
78;4034 Debrecen, Ruyter utca 107.
79;4400 Nyíregyháza, Ungvár sétány 35.
80;8100 Várpalota, Vörösmarty u. 35.
81;4400 Nyíregyháza, Széchenyi u. 1.
82;4032 Debrecen, Lehel u. 22.
83;4400 Nyíregyháza, Arany János utca 4/A.
84;7624 Pécs, Teszt utca 0.
85;4032 Debrecen, Füredi út 64. 6/27.
86;4700 Mátészalka, Gábor Áron utca 11/A.
